file,title,old_domains,old_primary,old_secondary,new_primary,new_secondary,override_reason,cross_tags
aigoapi-com.md,"""AI研究院""","AI, LLM",AI,LLM,AI,LLM,,
aihot.md,"""AIHOT""","AI, 媒体, 资讯",AI|媒体,资讯,AI,资讯,,内容平台
aimagazine-com.md,"""人工智能杂志""","AI, 资讯",AI,资讯,AI,资讯,,
aipower-yingdao-com.md,"""影刀AI Power""","AI, Agent",AI,Agent,AI,Agent,,
aistudio-google-com.md,"""Google AI Studio""","AI, 图像生成",AI,图像生成,AI,图像生成,,
ai研究院.md,"""AI研究院""","AI, LLM",AI,LLM,AI,LLM,,
alibabacloud-com.md,"""阿里云""","工具, 云服务",工具,云服务,开发工具,云服务,,
alibabafonts-com.md,"""阿里巴巴普惠体""","设计, 字体素材",设计,字体素材,设计,设计素材,,
aliexpress-com.md,"""Aliexpress""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
alphashop-cn.md,"""遨虾""","电商, 电商社区",电商,电商社区,电商,电商社区,,
amz123-com.md,"""AMZ123亚马逊导航""","电商, 电商社区",电商,电商社区,电商,电商社区,,
anthropic-com.md,"""人类学""","AI, LLM",AI,LLM,AI,LLM,,
anthropics-skills.md,"""Anthropic Skills (官方)""","AI, Agent, 开发",AI|开发,Agent,AI,Agent,,开发工具
anxiety-daheiai-com.md,"""AI 热点自动监控 - 项目开发记录""","AI, 开发平台",AI,开发平台,AI,开发平台,,
anygen-io.md,"""Home - AnyGen""","AI, Agent",AI,Agent,AI,Agent,,
apartmenttherapy-com.md,"""Apartment Therapy""","室内设计, 家居生活",室内设计|家居生活,,设计,未细分,,
api-apiyi-com.md,"""APIYI""","AI, 开发平台",AI,开发平台,AI,开发平台,,
api-chatshare-hk.md,"""ChatshareAPI""","AI, 开发平台",AI,开发平台,AI,开发平台,,
api-daheiai-com.md,"""最全API中转站导航——人工大黑搜集整理""","AI, 开发平台",AI,开发平台,AI,开发平台,,
api-dashboard-search-brave-com.md,"""Brave Search - API""","AI, 开发平台",AI,开发平台,AI,开发平台,,
api-公众号文章导出.md,"""公众号文章导出""","工具, API",工具,API,开发工具,API,,
app-heygen-com.md,"""HeyGen""","AI, 语音",AI,语音,AI,语音,,
app-ofox-ai.md,"""OfoxAI""","AI, Agent",AI,Agent,AI,Agent,,
app-runwayml-com.md,"""Runway""","AI, 视频生成",AI,视频生成,AI,视频生成,,
app-tavily-com.md,"""Tavily API Platform""","AI, 开发平台",AI,开发平台,AI,开发平台,,
app-windfonts-com.md,"""文风字体""","设计, 字体素材",设计,字体素材,设计,设计素材,,
archcollege-com.md,"""建筑学院 archcollege""","建筑, 设计",建筑|设计,,设计,未细分,,
archdaily-com.md,"""ArchDaily""","建筑, 设计",建筑|设计,,设计,未细分,,
archinect-com.md,"""Archinect""","建筑, 设计",建筑|设计,,设计,未细分,,
archiposition-com.md,"""有方 POSITION""","建筑, 设计",建筑|设计,,设计,未细分,,
architecturaldigest-com.md,"""Architectural Digest""","建筑, 设计, 室内设计",建筑|设计|室内设计,,设计,未细分,,
architecturalrecord-com.md,"""Architectural Record""","建筑, 设计",建筑|设计,,设计,未细分,,
architizer-com.md,"""Architizer""","建筑, 设计",建筑|设计,,设计,未细分,,
architonic-com.md,"""Architonic""","家具, 设计, 室内设计",设计|室内设计,家具,设计,家具与材料,,
artgallery-yale-edu.md,"""Yale University Art Gallery""","设计, 图片素材",设计,图片素材,设计,设计素材,,
artic-edu.md,"""芝加哥艺术学院Discover Art & Artists""","设计, 图片素材",设计,图片素材,设计,设计素材,,
artificialintelligence-news-com.md,"""AI News""","AI, 媒体, 资讯",AI|媒体,资讯,AI,资讯,,内容平台
artofthetitle-com.md,"""Art of the Title""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
artsandculture-google-com.md,"""Google 艺术与文化""","设计, 图片素材",设计,图片素材,设计,设计素材,,
artvee-com.md,"""Artvee""","设计, 图片素材",设计,图片素材,设计,设计素材,,
arxiv-org.md,"""arXiv.org 预印本存档""","参考, 学术论文",参考,学术论文,知识库,学术论文,,
austinkleon-com.md,"""别称它为艺术——奥斯汀·克莱恩""","参考, 设计参考",参考,设计参考,知识库,设计灵感,,
awhouse-art.md,"""巴拉干自宅 Casa Luis Barragan – AWhouse""","设计, 室内设计",设计|室内设计,,设计,未细分,,
awwwards-com.md,"""Awwwards - Webgradients""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
awwwards.md,"""Awwwards""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
baidu-com.md,"""百度""","AI, 通用搜索",AI,通用搜索,AI,通用搜索,,
baijiahao-baidu-com.md,"""百家号""","媒体, 资讯",媒体,资讯,内容平台,资讯,,
bailian-console-aliyun-com.md,"""大模型服务平台百炼控制台""","AI, 开发平台",AI,开发平台,AI,开发平台,,
behance-net.md,"""Behance""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
bigmodel-cn.md,"""智谱AI开放平台""","AI, LLM",AI,LLM,AI,LLM,,
bigmoves-ai.md,"""BigMoves.ai - Tools""","AI, 开发平台",AI,开发平台,AI,开发平台,,
bilibili-com.md,"""bilibili""","社区, 社交平台",社区,社交平台,内容平台,社交平台,,
bom-ai.md,"""博爱全球——中国最大的正品电子元件在线现货市场""","电商, 电子工厂",电商,电子工厂,商业,竞品研究,用户裁决：PCBA参考:电子工厂,电商
books-google-com.md,"""Google 图书""","参考, 图书档案",参考,图书档案,知识库,图书档案,,
brave-search---api.md,"""Brave Search - API""","AI, API",AI,API,AI,API,,
brutalistwebsites-com.md,"""brutalistwebsites""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
build-check-com.md,"""构建检查——你的应用创意值得开发吗？""","AI, 开发平台",AI,开发平台,AI,开发平台,,
bytedance-larkoffice-com.md,"""OpenClaw 飞书官方插件使用指南（公开版）""","AI, 学习资源",AI,学习资源,AI,学习资源,,
cailiao-zaixian-wechat.md,"""材料在线 (微信公众号)""","材料, 设计, 室内设计",设计|室内设计,材料,设计,家具与材料,,
canva-com.md,"""Canva""","媒体, 创作工具",媒体,创作工具,内容平台,设计工具,,
carlhansen-com.md,"""Carl Hansen & Son""","家具, 设计",设计,家具,设计,家具与材料,,
cdiscount-com.md,"""Cdiscount：法国本土平台，家电、家居品类优势明显""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
chairish-com.md,"""Chairish""","家具, 设计",设计,家具,设计,家具与材料,,
channels-weixin-qq-com.md,"""视频号助手""","媒体, 创作者平台",媒体,创作者平台,内容平台,创作者平台,,
chat-aigoapi-com.md,"""KEY 管理""","AI, 开发平台",AI,开发平台,AI,开发平台,,
chatgpt.md,"""ChatGPT""","AI, LLM",AI,LLM,AI,LLM,,
checkout-stripe-com.md,"""Cursor""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
chewy-com.md,"""chewy.com""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
cifnews-com.md,"""雨果跨境""","电商, 电商社区",电商,电商社区,电商,电商社区,,
civitai-discover-and-create-ai-art.md,"""Civitai""","AI, 图像生成",AI,图像生成,AI,图像生成,,
claude-ai.md,"""Claude""","AI, LLM",AI,LLM,AI,LLM,,
clawhub-ai.md,"""ClawHub""","AI, Agent, 工具",AI|工具,Agent,AI,Agent,,开发工具
clawhub.md,"""ClawHub""","AI, Agent",AI,Agent,AI,Agent,,
clawhut-com.md,"""Claw Hut - 顶级的 OpenClaw 生态系统""","AI, Agent",AI,Agent,AI,Agent,,
clipcat-ai.md,"""Clipcat - OpenClaw TikTok AI视频Agent""","AI, Agent",AI,Agent,AI,Agent,,
clipcat-skill---openclaw-tiktok-ai视频agen.md,"""Clipcat - OpenClaw TikTok AI视频Agent""","AI, Agent",AI,Agent,AI,Agent,,
cloud-siliconflow-cn.md,"""硅基流动""","AI, LLM",AI,LLM,AI,LLM,,
cn-aliyun-com.md,"""云服务器最新特惠_爆款产品新老同享续费同价-阿里云""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
cn-pinkoi-com.md,"""Pinkoi""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
cn-strikingly-com.md,"""Strikingly""","媒体, 创作工具",媒体,创作工具,内容平台,设计工具,,
code-claude-com.md,"""Claude Code""","AI, LLM",AI,LLM,AI,LLM,,
code-coze-cn.md,"""扣子编程""","AI, Agent",AI,Agent,AI,Agent,,
code-visualstudio-com.md,"""Visual Studio Code""","AI, 语音",AI,语音,AI,语音,,
codebanana-com.md,"""CodeBanana""","AI, Agent",AI,Agent,AI,Agent,,
color-adobe-com.md,"""Adobe Color""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
colorhunt-co.md,"""Color Hunt""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
comfyui.md,"""ComfyUI""","AI, 图像生成",AI,图像生成,AI,图像生成,,
console-pixelbin-io.md,"""PixelBin""","工具, 去水印/抠图",工具,去水印/抠图,开发工具,设计工具,,
console-volcengine-com.md,"""火山引擎_API界面""","AI, 开发平台",AI,开发平台,AI,开发平台,,
console-xfyun-cn.md,"""控制台-讯飞开放平台""","AI, 开发平台",AI,开发平台,AI,开发平台,,
context7-com.md,"""Context7""","AI, 学习资源",AI,学习资源,AI,学习资源,,
cool-bilibili-com.md,"""素材酷平台""","媒体, 创作者平台",媒体,创作者平台,内容平台,创作者平台,,
coolors.md,"""Coolors""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
cosmos-ai-visual-·-skill-architecture.md,"""Cosmos AI Visual · Skill Architecture""","AI, 学习资源",AI,学习资源,AI,学习资源,,
cosyvoice3.0.md,"""CosyVoice3.0""","开发, 代码托管",开发,代码托管,开发工具,代码托管,,
coze-cn.md,"""扣子""","AI, Agent",AI,Agent,AI,Agent,,
creator-douyin-com.md,"""抖音创作者中心""","媒体, 创作者平台",媒体,创作者平台,内容平台,创作者平台,,
creator-xiaohongshu-com.md,"""小红书创作服务平台""","媒体, 创作者平台",媒体,创作者平台,内容平台,创作者平台,,
csdn.md,"""CSDN""","开发, 技术问答",开发,技术问答,开发工具,技术社区,,
cursor-com.md,"""Cursor""","AI, 代码",AI,代码,AI,代码托管,,
customcat-com.md,"""CustomCat""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
d1yrqfuicw0b9n-cloudfront-net.md,"""快连 VPN - 时长冻结""","AI, 工具, 开发平台",AI|工具,开发平台,AI,开发平台,,开发工具
dash-cliproxy-com.md,"""Cliproxy长效IP""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
dashboard-context7-context7.md,"""Context7""","学习, 文档手册",学习,文档手册,知识库,文档手册,,
dashboard-iproyal-com.md,"""IPRoyal-静态住宅代理""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
decogo-com.md,"""首页 - 德科创艺：权威工艺家居资源平台""","电商, 国内电商",电商,国内电商,电商,国内电商,,
deepl-com.md,"""DeepL翻译""","工具, 翻译工具",工具,翻译工具,开发工具,效率工具,,
deepseek-开放平台_q邮账户.md,"""DeepSeek 开放平台_Q邮账户""","AI, LLM",AI,LLM,AI,LLM,,
deepseek.md,"""DeepSeek""","AI, LLM",AI,LLM,AI,LLM,,
design-milk-com.md,"""Design Milk""","室内设计, 设计, 家具",室内设计|设计,家具,设计,家具与材料,,
designboom-com.md,"""Designboom""","设计, 建筑, 室内设计",设计|建筑|室内设计,,设计,未细分,,
designwire-com-cn.md,"""Designwire 设计腕儿""","室内设计, 设计",室内设计|设计,,设计,未细分,,
detail-1688-com.md,"""宠物智能等离子净味器除味器猫砂除臭仓鼠猫砂盆除臭器批发""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
developer-open-douyin-com.md,"""抖音开放平台""","AI, 开发平台",AI,开发平台,AI,开发平台,,
dezeen-com.md,"""Dezeen""","建筑, 设计, 室内设计",建筑|设计|室内设计,,设计,未细分,,
dianxiaomi-com.md,"""店小秘""","电商, 电商EPR",电商,电商EPR,电商,电商服务,,
digitalsolution-feishu-cn.md,"""2026 飞书新品见面会演讲精华（公开版）""","AI, 学习资源",AI,学习资源,AI,学习资源,,
discord-com.md,"""Discord Developer Portal""","AI, 开发平台",AI,开发平台,AI,开发平台,,
discord-developer-portal.md,"""Discord Developer Portal""","社区, 技术社区",社区,技术社区,内容平台,技术社区,,
divisare-com.md,"""Divisare""","建筑, 设计",建筑|设计,,设计,未细分,,
docs-bigmodel-cn.md,"""CogView-4 - 智谱AI开放文档""","AI, 图像生成",AI,图像生成,AI,图像生成,,
docs-openclaw-ai.md,"""General Troubleshooting - OpenClaw""","AI, 学习资源",AI,学习资源,AI,学习资源,,
dogcatstar-com.md,"""汪喵星球DogCatStar""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
dop-sheji-wechat.md,"""dop设计 (微信公众号)""","室内设计, 设计",室内设计|设计,,设计,未细分,,
douban-com.md,"""豆瓣-热门小组""","社区, 内容平台",社区,内容平台,内容平台,内容平台,,
doubao-com.md,"""豆包""","AI, LLM",AI,LLM,AI,LLM,,
douyin-com.md,"""抖音""","社区, 社交平台",社区,社交平台,内容平台,社交平台,,
dribbble-com.md,"""Dribbble""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
drive-google-com.md,"""Google 云端硬盘""","工具, 存储网盘",工具,存储网盘,开发工具,效率工具,,
dwell-com.md,"""Dwell""","室内设计, 建筑, 设计",室内设计|建筑|设计,,设计,未细分,,
e-dunhuang-com.md,"""数字敦煌""","设计, 图片素材",设计,图片素材,设计,设计素材,,
edit0.md,"""Edit0""","AI, 图像生成",AI,图像生成,AI,图像生成,,
elevenlabs---ai-语音生成器.md,"""ElevenLabs - AI 语音生成器""","AI, 语音",AI,语音,AI,语音,,
elevenlabs-io.md,"""ElevenLabs - AI 语音生成器""","AI, 语音",AI,语音,AI,语音,,
elledecor-com.md,"""Elle Decor""","室内设计, 家居生活, 设计",室内设计|家居生活|设计,,设计,未细分,,
ennews-com.md,"""亿恩网""","电商, 电商社区",电商,电商社区,电商,电商社区,,
eraser-io.md,"""Eraser.io""","设计, 架构图, 工具",设计|工具,架构图,设计,设计工具,,开发工具
erp-91miaoshou-com.md,"""妙手ERP - 免费TikTok、Shopee、TEMU、OZON等跨境电商ERP软件""","电商, 电商EPR",电商,电商EPR,电商,电商服务,,
etsy-com.md,"""Etsy Hong Kong""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
excalidraw-com.md,"""Excalidraw""","设计, 流程图, 工具",设计|工具,流程图,设计,设计工具,,开发工具
ezezic-com.md,"""易易通_电子库存交易平台""","电商, 电子工厂",电商,电子工厂,商业,竞品研究,用户裁决：PCBA参考:电子工厂,电商
facebook-com.md,"""Facebook""","社区, 社交平台",社区,社交平台,内容平台,社交平台,,
faces-app.md,"""Faces""","AI, 图像生成",AI,图像生成,AI,图像生成,,
faces.md,"""Faces""","AI, 图像生成",AI,图像生成,AI,图像生成,,
fanqienovel-com.md,"""番茄小说网""","媒体, 文学平台",媒体,文学平台,内容平台,内容平台,,
faststone-org.md,"""FastStone 图像查看器""","工具, 图片处理",工具,图片处理,开发工具,设计工具,,
fcn7dgp1xcm8-feishu-cn.md,"""抓取对标微信公众号文章内容说明书""","AI, 学习资源",AI,学习资源,AI,学习资源,,
figma-com.md,"""Figma""","设计, 工具, UI/UX",设计|工具,UI/UX,设计,UI/UX,,开发工具
firebox-eu.md,"""FIREBOX""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
flomo.md,"""flomo""","工具, 知识管理",工具,知识管理,开发工具,知识管理,,
flow.md,"""Flow""","AI, Agent",AI,Agent,AI,Agent,,
fococlipping-com.md,"""FocoClipping Remove BG""","工具, 去水印/抠图",工具,去水印/抠图,开发工具,设计工具,,
font-sucai999-com.md,"""字体搬运工-免费商用字体""","设计, 字体素材",设计,字体素材,设计,设计素材,,
fonts-google-com.md,"""Google Fonts""","设计, 字体素材",设计,字体素材,设计,设计素材,,
frameweb-com.md,"""FRAME""","室内设计, 设计",室内设计|设计,,设计,未细分,,
freepik-com.md,"""Freepik""","设计, 视频素材",设计,视频素材,设计,设计素材,,
fressnapf-de.md,"""FRESSNAPF""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
funaudiollm-github-io.md,"""CosyVoice3.0""","AI, 语音",AI,语音,AI,语音,,
futurepedia-io.md,"""Futurepedia.io""","AI, 工具",AI|工具,,AI,未细分,,开发工具
futuretools-io.md,"""Future Tools""","AI, 工具",AI|工具,,AI,未细分,,开发工具
gallerix-org.md,"""Gallerix online museum""","设计, 图片素材",设计,图片素材,设计,设计素材,,
gardenista-com.md,"""Gardenista""","景观, 设计, 家居生活",景观|设计|家居生活,,设计,未细分,,
geekpark-net.md,"""极客公园""","AI, 媒体, 资讯",AI|媒体,资讯,AI,资讯,,内容平台
geekwire-com.md,"""GeekWire – 科技与商业领域的最新资讯""","AI, 资讯",AI,资讯,AI,资讯,,
gelato-com.md,"""Gelato""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
gemini-google-com.md,"""Google Gemini""","AI, LLM",AI,LLM,AI,LLM,,
general-troubleshooting---openclaw.md,"""General Troubleshooting - OpenClaw""","AI, 学习资源",AI,学习资源,AI,学习资源,,
gist-github-com.md,"""llm-wiki""","AI, LLM",AI,LLM,AI,LLM,,
git-scm-com.md,"""Git""","AI, 代码",AI,代码,AI,代码托管,,
github-com.md,"""github home""","开发, 代码托管",开发,代码托管,开发工具,代码托管,,
github-home.md,"""github home""","开发, 代码托管",开发,代码托管,开发工具,代码托管,,
github-trending.md,"""GitHub Trending""","AI, 开发, 工具",AI|开发|工具,,AI,未细分,,开发工具
gitlab-com.md,"""Learn GitLab · Camellia-group / Camellia-project · GitLab""","AI, 代码",AI,代码,AI,代码托管,,
global-1688-com.md,"""跨境专供""","电商, 国内电商",电商,国内电商,电商,国内电商,,
godly-website.md,"""Godly - 网页设计""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
gofundme-com.md,"""GoFundMe""","产品, 众筹平台",产品,众筹平台,商业,众筹,,
google-ai-studio.md,"""Google AI Studio""","AI, 语音",AI,语音,AI,语音,,
google-gemini.md,"""Google Gemini""","AI, LLM",AI,LLM,AI,LLM,,
google.md,"""Google""","搜索, 通用搜索",搜索,通用搜索,知识库,通用搜索,,
gooood-cn.md,"""谷德设计网""","建筑, 设计, 室内设计",建筑|设计|室内设计,,设计,未细分,,
gpt-image2-canghe-ai.md,"""GPT-Image2 Prompt Gallery""","AI, 图像生成",AI,图像生成,AI,图像生成,,
gpt-image2-prompt-gallery.md,"""GPT-Image2 Prompt Gallery""","AI, 图像生成",AI,图像生成,AI,图像生成,,
grok-com.md,"""Grok""","AI, 图像生成",AI,图像生成,AI,图像生成,,
grok.md,"""Grok""","AI, LLM",AI,LLM,AI,LLM,,
guides-–-upstash-kv-bole-curtain-–-verce.md,"""Guides – upstash-kv-bole-curtain – Vercel""","开发, 部署平台",开发,部署平台,开发工具,部署平台,,
gumroad-com.md,"""Gumroad 数字产品""","产品, 创作者变现",产品,创作者变现,商业,变现,,
gutenberg-org.md,"""古腾堡计划""","参考, 图书档案",参考,图书档案,知识库,图书档案,,
gyan-dev.md,"""CODEX FFMPEG""","AI, 代码",AI,代码,AI,代码托管,,
haohaozhu-cn.md,"""好好住""","室内设计, 家居生活, 社区",室内设计|家居生活|社区,,设计,未细分,,内容平台
helium10-com.md,"""Helium 10""","电商, 电商社区",电商,电商社区,电商,电商社区,,
hellorf-com.md,"""站酷海洛""","设计, 图片素材",设计,图片素材,设计,设计素材,,
hermes-agent-nousresearch-com.md,"""Hermes Agent — The Agent That Grows With You""","AI, Agent",AI,Agent,AI,Agent,,
heygen.md,"""HeyGen""","AI, 视频生成",AI,视频生成,AI,视频生成,,
hoverstat-es.md,"""HOVERSTAT.ES""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
html5up.md,"""HTML5 UP""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
httpster-net.md,"""Httpster网页设计""","设计, 网页设计",设计,网页设计,设计,UI/UX,,
huasheng-cn.md,"""花生AI""","AI, 视频生成",AI,视频生成,AI,视频生成,,
huemint-com.md,"""Huemint - AI color""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
huggingface-co.md,"""Hugging Face- AI论文""","参考, 学术论文",参考,学术论文,知识库,学术论文,,
huluai-net.md,"""葫芦AI""","AI, 图像生成",AI,图像生成,AI,图像生成,,
i-taobao-com.md,"""我的淘宝""","AI, 学习资源",AI,学习资源,AI,学习资源,,
iconfont-cn.md,"""iconfont-阿里巴巴矢量图标库""","设计, logo素材",设计,logo素材,设计,设计素材,,
ikea-cn.md,"""宜家""","设计, 家居生活",设计|家居生活,,设计,未细分,,
ikeahackers-net.md,"""IKEA Hackers""","设计, 家居生活",设计|家居生活,,设计,未细分,,
illustration-lol.md,"""Illustration.lol - 创意图片""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
indiegogo-com.md,"""Indiegogo""","产品, 众筹平台",产品,众筹平台,商业,众筹,,
instagram-architectanddesign.md,"""Architect & Design (@architectanddesign)""","建筑, 设计, 室内设计",建筑|设计|室内设计,,设计,未细分,,
instagram-cabanamagazine.md,"""Cabana Magazine (@cabanamagazine)""","室内设计, 设计, 家居生活",室内设计|设计|家居生活,,设计,未细分,,
instagram-catesthill.md,"""Cate St Hill (@catesthill)""","室内设计, 家居生活",室内设计|家居生活,,设计,未细分,,
instagram-colinking.md,"""Colin King (@colinking)""","室内设计, 设计",室内设计|设计,,设计,未细分,,
instagram-com.md,"""Instagram""","社区, 设计",社区|设计,,内容平台,未细分,,设计
instagram-daniellesiggerud.md,"""Daniella Siggerud (@daniellesiggerud)""","建筑, 设计",建筑|设计,,设计,未细分,,
instagram-kellywearstler.md,"""Kelly Wearstler (@kellywearstler)""","室内设计, 设计",室内设计|设计,,设计,未细分,,
instagram-nicolasschuybroek.md,"""Nicolas Schuybroek (@nicolasschuybroek)""","建筑, 室内设计",建筑|室内设计,,设计,未细分,,
instagram-residencemag.md,"""Residence Magazine (@residencemag)""","室内设计, 建筑, 设计",室内设计|建筑|设计,,设计,未细分,,
instagram-studiomcgee.md,"""Studio McGee (@studiomcgee)""","室内设计, 家居生活",室内设计|家居生活,,设计,未细分,,
instagram-tekla_evelina_severin.md,"""Tekla Evelina Severin (@tekla_evelina_severin)""","建筑, 设计",建筑|设计,,设计,未细分,,
instagram-themodernhouse.md,"""The Modern House (@themodernhouse)""","室内设计, 建筑",室内设计|建筑,,设计,未细分,,
instagram-vincentvanduysen.md,"""Vincent Van Duysen (@vincentvanduysen)""","建筑, 室内设计, 家具",建筑|室内设计,家具,设计,家具与材料,,
instreet---agent-社交网络.md,"""InStreet - Agent 社交网络""","AI, Agent",AI,Agent,AI,Agent,,
instreet-coze-site.md,"""InStreet - Agent 社交网络""","AI, Agent",AI,Agent,AI,Agent,,
interiordesign-net.md,"""Interior Design Magazine""","室内设计, 设计",室内设计|设计,,设计,未细分,,
ip-geoaddress-generator-pages-dev.md,"""真实地址生成器""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
ipidea-net.md,"""IPIDEA-静态住宅IP""","工具, IP管理",工具,IP管理,商业,IP版权,用户裁决:IP管理,开发工具
jaaz---ai-design-agent.md,"""Jaaz - AI Design Agent""","AI, Agent",AI,Agent,AI,Agent,,
jaaz-app.md,"""Jaaz - AI Design Agent""","AI, 图像生成",AI,图像生成,AI,图像生成,,
jimeng-jianying-com.md,"""即梦AI""","AI, 图像生成",AI,图像生成,AI,图像生成,,
jingtanbusiness-antgroup-com.md,"""鲸探 数字藏品""","产品, 数字藏品",产品,数字藏品,商业,IP版权,,
jiqizhixin-com.md,"""机器之心""","AI, 媒体, 资讯",AI|媒体,资讯,AI,资讯,,内容平台
jjwxc-net.md,"""晋江文学城""","媒体, 文学平台",媒体,文学平台,内容平台,内容平台,,
jungalow-com.md,"""Jungalow""","设计, 家居生活",设计|家居生活,,设计,未细分,,
justeasy-cn.md,"""建E室内设计网""","室内设计, 设计",室内设计|设计,,设计,未细分,,
jvs-claw.md,"""JVS Claw""","AI, Agent",AI,Agent,AI,Agent,,
jvsclaw-aliyun-com.md,"""JVS Claw""","AI, Agent",AI,Agent,AI,Agent,,
karakeep.md,"""Karakeep""","工具, 知识管理",工具,知识管理,开发工具,知识管理,,
karpathy-github-io.md,"""Andrej Karpathy""","AI, LLM, Agent",AI,LLM|Agent,AI,LLM,,
kickstarter-com.md,"""Kickstarter 众筹""","产品, 众筹平台",产品,众筹平台,商业,众筹,,
kimi-claw.md,"""Kimi Claw""","AI, LLM",AI,LLM,AI,LLM,,
kimi-com.md,"""Kimi Claw""","AI, LLM",AI,LLM,AI,LLM,,
klingai-com.md,"""可灵 AI""","AI, 视频生成",AI,视频生成,AI,视频生成,,
kol-fanqieopen-com.md,"""番茄达人中心""","社区, 创作者平台",社区,创作者平台,内容平台,创作者平台,,
krea-ai.md,"""Krea""","AI, 图像生成",AI,图像生成,AI,图像生成,,
